mal_id,title,episodes,type,source,season,year,rating
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,10,TV,Manga,fall,2016,PG-13 - Teens 13 or older
32995,Yuri!!! on Ice,12,TV,Original,fall,2016,PG-13 - Teens 13 or older
32867,Bungou Stray Dogs 2nd Season,12,TV,Manga,fall,2016,R - 17+ (violence & profanity)
31646,3-gatsu no Lion,22,TV,Manga,fall,2016,PG-13 - Teens 13 or older
31339,Drifters,12,TV,Manga,fall,2016,R - 17+ (violence & profanity)
32899,Watashi ga Motete Dousunda,12,TV,Manga,fall,2016,PG-13 - Teens 13 or older
32686,Keijo!!!!!!!!,12,TV,Manga,fall,2016,PG-13 - Teens 13 or older
30016,Nanbaka,13,TV,Web manga,fall,2016,PG-13 - Teens 13 or older
33253,Ajin Part 2,13,TV,Manga,fall,2016,R - 17+ (violence & profanity)
31988,Hibike! Euphonium 2,13,TV,Novel,fall,2016,PG-13 - Teens 13 or older
32962,Occultic;Nine,12,TV,Light novel,fall,2016,PG-13 - Teens 13 or older
32979,Flip Flappers,13,TV,Original,fall,2016,PG-13 - Teens 13 or older
32983,Natsume Yuujinchou Go,11,TV,Manga,fall,2016,PG-13 - Teens 13 or older
33433,Shuumatsu no Izetta,12,TV,Original,fall,2016,R - 17+ (violence & profanity)
32603,Okusama ga Seitokaichou!+!,12,TV,Manga,fall,2016,R+ - Mild Nudity
33003,Mahou Shoujo Ikusei Keikaku,12,TV,Light novel,fall,2016,R - 17+ (violence & profanity)
33094,WWW.Working!!,13,TV,Web manga,fall,2016,PG-13 - Teens 13 or older
33051,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,25,TV,Original,fall,2016,R - 17+ (violence & profanity)
32673,Udon no Kuni no Kiniro Kemari,12,TV,Manga,fall,2016,PG-13 - Teens 13 or older
32948,Fune wo Amu,11,TV,Novel,fall,2016,PG-13 - Teens 13 or older
33377,"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori",24,TV,Original,fall,2016,PG-13 - Teens 13 or older
31588,All Out!!,25,TV,Manga,fall,2016,PG-13 - Teens 13 or older
33985,Bloodivores,12,TV,Web manga,fall,2016,R - 17+ (violence & profanity)
34034,Pokemon Sun & Moon,146,TV,Game,fall,2016,PG - Children
32607,Gi(a)rlish Number,12,TV,Mixed media,fall,2016,PG-13 - Teens 13 or older
33589,ViVid Strike!,12,TV,Original,fall,2016,PG-13 - Teens 13 or older
33023,Touken Ranbu: Hanamaru,12,TV,Game,fall,2016,PG-13 - Teens 13 or older
33771,Cheating Craft,12,TV,Novel,fall,2016,PG-13 - Teens 13 or older
34009,To Be Hero,12,TV,Original,fall,2016,PG-13 - Teens 13 or older
32866,Brave Witches,12,TV,Original,fall,2016,R+ - Mild Nudity
33197,Lostorage Incited WIXOSS,12,TV,Card game,fall,2016,R - 17+ (violence & profanity)
33299,Magic-Kyun! Renaissance,13,TV,Mixed media,fall,2016,PG-13 - Teens 13 or older
33031,Shakunetsu no Takkyuu Musume,12,TV,Web manga,fall,2016,PG-13 - Teens 13 or older
33392,Gakuen Handsome,12,TV,Game,fall,2016,PG-13 - Teens 13 or older
31178,Uta no☆Prince-sama♪ Maji Love Legend Star,13,TV,Visual novel,fall,2016,PG-13 - Teens 13 or older
32555,Stella no Mahou,12,TV,4-koma manga,fall,2016,PG-13 - Teens 13 or older
32038,Show By Rock!! #,12,TV,Game,fall,2016,PG-13 - Teens 13 or older
33244,Kiitarou Shounen no Youkai Enikki,12,TV,Web manga,fall,2016,PG-13 - Teens 13 or older
30652,Long Riders!,12,TV,Manga,fall,2016,PG-13 - Teens 13 or older
33668,Soushin Shoujo Matoi,12,TV,Original,fall,2016,PG-13 - Teens 13 or older
31157,ClassicaLoid,25,TV,Original,fall,2016,PG-13 - Teens 13 or older
33041,Bubuki Buranki: Hoshi no Kyojin,12,TV,Original,fall,2016,PG-13 - Teens 13 or older
32829,Nobunaga no Shinobi,26,TV,4-koma manga,fall,2016,PG-13 - Teens 13 or older
33462,Bernard-jou Iwaku.,12,TV,Manga,fall,2016,PG-13 - Teens 13 or older
32881,Tiger Mask W,38,TV,Manga,fall,2016,PG-13 - Teens 13 or older
33775,Soul Buster,12,TV,Manga,fall,2016,PG-13 - Teens 13 or older
33814,Ao Oni The Animation,13,TV,Game,fall,2016,R - 17+ (violence & profanity)
33419,12-sai.: Chicchana Mune no Tokimeki 2nd Season,12,TV,Manga,fall,2016,PG - Children
31631,Monster Hunter Stories: Ride On,75,TV,Game,fall,2016,PG-13 - Teens 13 or older
33746,Anitore! XX: Hitotsu Yane no Shita de,12,TV,Original,fall,2016,PG-13 - Teens 13 or older
33811,Teekyuu 8,12,TV,Manga,fall,2016,PG-13 - Teens 13 or older
33314,Digimon Universe: Appli Monsters,52,TV,Original,fall,2016,PG - Children
33690,Nazotokine,12,TV,Original,fall,2016,PG-13 - Teens 13 or older
33795,Mahou Shoujo Nante Mou Ii desu kara. Second Season,12,TV,Web manga,fall,2016,PG-13 - Teens 13 or older
34077,Cardfight!! Vanguard G Next,52,TV,Card game,fall,2016,PG-13 - Teens 13 or older
33572,Idol Memories,12,TV,Original,fall,2016,PG-13 - Teens 13 or older
33240,Koneko no Chi: Ponponra Daibouken,51,TV,Manga,fall,2016,G - All Ages
33245,Ame-iro Cocoa in Hawaii,12,TV,Web manga,fall,2016,PG-13 - Teens 13 or older
32805,Nyanbo!,26,TV,Manga,fall,2016,PG - Children
33803,Sengoku Choujuu Giga: Kou,13,TV,Original,fall,2016,PG-13 - Teens 13 or older
34013,Hagane Orchestra,12,TV,Game,fall,2016,PG-13 - Teens 13 or older
33026,Time Bokan 24,24,TV,Original,fall,2016,PG-13 - Teens 13 or older
33490,Kaitou Joker 4th Season,13,TV,Manga,fall,2016,PG - Children
33541,Bishoujo Yuugi Unit Crane Game Girls Galaxy,12,TV,Original,fall,2016,PG - Children
33975,3-Nen D-Gumi Glass no Kamen,13,TV,Manga,fall,2016,PG - Children
33434,Heybot!,50,TV,Original,fall,2016,PG - Children
33933,Yasamura Yasashi no Yasashii Sekai,33,TV,Original,fall,2016,G - All Ages
34292,Kamigami no Ki,16,TV,Original,fall,2016,PG - Children
34410,Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao,26,TV,Original,fall,2016,G - All Ages
32663,Tama & Friends: Uchi no Tama Shirimasen ka?,104,TV,Original,fall,2016,G - All Ages
34156,PePePePengiin,13,TV,Original,fall,2016,PG - Children
34233,Kimoshiba,13,TV,Original,fall,2016,G - All Ages
33727,Neko no Dayan: Fushigi Gekijou,30,TV,Picture book,fall,2016,G - All Ages
34235,Pittanko! Nekozakana,50,TV,Original,fall,2016,G - All Ages
37927,Nu Sheng Su She Ri Chang,12,TV,Original,fall,2016,PG-13 - Teens 13 or older
34234,Ohayou! Kokekkou-san,50,TV,Original,fall,2016,G - All Ages
34207,Dochamon Junior 2,16,TV,Original,fall,2016,G - All Ages
38129,Zhu Zhu Xia: Meng Xiang Shou Wei Zhe,52,TV,Original,fall,2016,G - All Ages
36551,Lalala Lala-chan: Patapata Daisensou,12,TV,Original,fall,2016,G - All Ages
48198,Magic Adventures: The Crystal of Dark,52,TV,Unknown,fall,2016,PG - Children
52737,Athlon Tobot 2,13,TV,Unknown,fall,2016,PG - Children
44495,Shouwang Zhengfeng,26,TV,Original,fall,2016,PG - Children
47285,Senba Xingfu Dao,52,TV,Original,fall,2016,PG - Children
