mal_id,title,episodes,type,source,season,year,rating
532,Bishoujo Senshi Sailor Moon S,38,TV,Manga,spring,1994,PG-13 - Teens 13 or older
96,Kidou Butouden G Gundam,49,TV,Original,spring,1994,PG-13 - Teens 13 or older
334,Marmalade Boy,76,TV,Manga,spring,1994,PG-13 - Teens 13 or older
3907,Ginga Sengoku Gunyuuden Rai,52,TV,Manga,spring,1994,PG-13 - Teens 13 or older
2283,Red Baron,49,TV,Other,spring,1994,PG-13 - Teens 13 or older
3809,Shirayuki Hime no Densetsu,52,TV,Unknown,spring,1994,G - All Ages
3672,Tottemo! Luckyman,50,TV,Manga,spring,1994,G - All Ages
1848,Haou Taikei Ryuu Knight,52,TV,Manga,spring,1994,PG-13 - Teens 13 or older
4773,Yamato Takeru,37,TV,Original,spring,1994,PG-13 - Teens 13 or older
4023,Kitty's Paradise,16,TV,Original,spring,1994,G - All Ages
2771,Chou Kuse ni Narisou,39,TV,Manga,spring,1994,PG-13 - Teens 13 or older
5217,Goal FH: Field Hunter,39,TV,Manga,spring,1994,PG-13 - Teens 13 or older
3313,Montana Jones,52,TV,Original,spring,1994,G - All Ages
4025,Asobou! Hello Kitty,26,TV,Unknown,spring,1994,G - All Ages
4470,Gene Diver,56,TV,Original,spring,1994,PG - Children
10774,Soccer Fever,51,TV,Unknown,spring,1994,PG - Children
7448,Pacusi,18,TV,Unknown,spring,1994,G - All Ages
5140,Karaoke Senshi Mike-tarou,20,TV,Manga,spring,1994,PG-13 - Teens 13 or older
17624,Omakase Scrappers,39,TV,Unknown,spring,1994,PG - Children
29471,Saikin Ponta,12,TV,Unknown,spring,1994,PG - Children
29469,Daisuki! Nendomama,9,TV,Unknown,spring,1994,PG - Children
30121,Fushigina Ano Ko wa Sutekina Kono Ko,154,TV,Unknown,spring,1994,PG - Children
