mal_id,title,episodes,type,source,season,year,rating
72,Full Metal Panic? Fumoffu,12,TV,Light novel,summer,2003,PG-13 - Teens 13 or older
257,Ikkitousen,13,TV,Manga,summer,2003,R+ - Mild Nudity
133,Green Green,12,TV,Visual novel,summer,2003,R+ - Mild Nudity
196,Onegai☆Twins,12,TV,Original,summer,2003,PG-13 - Teens 13 or older
62,D.C.: Da Capo,26,TV,Visual novel,summer,2003,PG-13 - Teens 13 or older
838,Narutaru: Mukuro Naru Hoshi Tama Taru Ko,13,TV,Manga,summer,2003,R - 17+ (violence & profanity)
610,Popotan,12,TV,Visual novel,summer,2003,R+ - Mild Nudity
261,Happy☆Lesson Advance,13,TV,Manga,summer,2003,PG-13 - Teens 13 or older
294,Divergence Eve,13,TV,Original,summer,2003,R+ - Mild Nudity
301,Cinderella Boy,13,TV,Manga,summer,2003,PG-13 - Teens 13 or older
2486,Takahashi Rumiko Gekijou,13,TV,Manga,summer,2003,PG-13 - Teens 13 or older
1837,Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,12,TV,Light novel,summer,2003,PG-13 - Teens 13 or older
1409,IGPX: Immortal Grand Prix,5,TV,Original,summer,2003,PG-13 - Teens 13 or older
1617,Massugu ni Ikou.,4,TV,Manga,summer,2003,PG - Children
4801,Suhoyojeong Michel,26,TV,Unknown,summer,2003,PG - Children
4104,Mini Moni the TV,15,TV,Other,summer,2003,G - All Ages
39936,Nezha Chuanqi,52,TV,Original,summer,2003,PG - Children
15479,Hey Yo Yorang,26,TV,Unknown,summer,2003,G - All Ages
