mal_id,title,episodes,type,source,season,year,rating
1093,Oishinbo,136,TV,Manga,fall,1988,PG-13 - Teens 13 or older
1960,Sore Ike! Anpanman,,TV,Picture book,fall,1988,PG - Children
2467,3 Choume no Tama: Uchi no Tama Shirimasen ka?,36,TV,Other,fall,1988,G - All Ages
4061,Shin Grimm Meisaku Gekijou,23,TV,Other,fall,1988,G - All Ages
3838,Himitsu no Akko-chan 2,61,TV,Unknown,fall,1988,G - All Ages
4616,Yumemiru Topo Gigio,13,TV,Unknown,fall,1988,PG - Children
5534,Hai! Akko desu,164,TV,Unknown,fall,1988,G - All Ages
4121,Meimon! Daisan Yakyuu-bu,40,TV,Unknown,fall,1988,PG-13 - Teens 13 or older
