mal_id,title,episodes,type,source,season,year,rating
182,Tenkuu no Escaflowne,26,TV,Original,spring,1996,PG-13 - Teens 13 or older
996,Bishoujo Senshi Sailor Moon: Sailor Stars,34,TV,Manga,spring,1996,PG-13 - Teens 13 or older
535,Slayers Next,26,TV,Light novel,spring,1996,PG-13 - Teens 13 or older
1486,Kodomo no Omocha (TV),102,TV,Manga,spring,1996,PG-13 - Teens 13 or older
92,Kidou Shinseiki Gundam X,39,TV,Original,spring,1996,PG-13 - Teens 13 or older
2012,Jigoku Sensei Nube,49,TV,Manga,spring,1996,PG-13 - Teens 13 or older
3010,Kaiketsu Zorro,52,TV,Other,spring,1996,PG-13 - Teens 13 or older
286,B'T X,25,TV,Manga,spring,1996,PG-13 - Teens 13 or older
2817,Cinderella Monogatari,26,TV,Other,spring,1996,G - All Ages
1040,Mizuiro Jidai,47,TV,Manga,spring,1996,PG-13 - Teens 13 or older
2087,VS Knight Lamune & 40 Fire,26,TV,Original,spring,1996,PG-13 - Teens 13 or older
3550,Midori no Makibao,61,TV,Manga,spring,1996,G - All Ages
8764,Hajime Ningen Gon,39,TV,Manga,spring,1996,G - All Ages
7639,Shounen Santa no Daibouken!,24,TV,Novel,spring,1996,G - All Ages
20081,Ijiwaru Baasan (1996),46,TV,Unknown,spring,1996,
