mal_id,title,episodes,type,source,season,year,rating
1,Cowboy Bebop,26,TV,Original,spring,1998,R - 17+ (violence & profanity)
6,Trigun,26,TV,Manga,spring,1998,PG-13 - Teens 13 or older
232,Cardcaptor Sakura,70,TV,Manga,spring,1998,PG - Children
185,Initial D First Stage,26,TV,Manga,spring,1998,PG-13 - Teens 13 or older
550,Yu☆Gi☆Oh!,27,TV,Manga,spring,1998,PG-13 - Teens 13 or older
206,Lodoss-tou Senki: Eiyuu Kishi Den,27,TV,Novel,spring,1998,PG-13 - Teens 13 or older
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,48,TV,4-koma manga,spring,1998,G - All Ages
447,Weiß Kreuz,25,TV,Original,spring,1998,PG-13 - Teens 13 or older
1184,Lost Universe,26,TV,Light novel,spring,1998,PG-13 - Teens 13 or older
1517,Silent Möbius,26,TV,Manga,spring,1998,PG-13 - Teens 13 or older
1163,Neo Ranga,48,TV,Original,spring,1998,PG-13 - Teens 13 or older
633,Legend of Basara,13,TV,Manga,spring,1998,PG-13 - Teens 13 or older
1846,Princess Nine: Kisaragi Joshikou Yakyuubu,26,TV,Original,spring,1998,PG-13 - Teens 13 or older
604,Mahou no Stage Fancy Lala,26,TV,Original,spring,1998,G - All Ages
1542,Brain Powerd,26,TV,Original,spring,1998,PG-13 - Teens 13 or older
2288,Akihabara Dennou-gumi,26,TV,Original,spring,1998,PG-13 - Teens 13 or older
1775,Jikuu Tenshou Nazca,12,TV,Original,spring,1998,PG-13 - Teens 13 or older
677,Sentimental Journey,12,TV,Original,spring,1998,PG-13 - Teens 13 or older
810,Android Ana Maico 2010,24,TV,Manga,spring,1998,PG-13 - Teens 13 or older
5070,Beast Wars Second Chou Seimeitai Transformers,43,TV,Other,spring,1998,G - All Ages
2416,Grander Musashi RV,39,TV,Unknown,spring,1998,PG-13 - Teens 13 or older
1314,DT Eightron,26,TV,Original,spring,1998,PG-13 - Teens 13 or older
8812,Alice SOS,28,TV,Original,spring,1998,G - All Ages
8765,Futarigurashi,36,TV,Manga,spring,1998,R+ - Mild Nudity
3176,Nessa no Haou Gandalla,26,TV,Original,spring,1998,PG-13 - Teens 13 or older
1892,YAT Anshin! Uchuu Ryokou 2,25,TV,Original,spring,1998,PG-13 - Teens 13 or older
3839,Himitsu no Akko-chan 3,44,TV,Unknown,spring,1998,G - All Ages
9391,Ginga Hyouryuu Vifam 13,26,TV,Unknown,spring,1998,G - All Ages
9424,Seupideuwang Beongae,26,TV,Unknown,spring,1998,
3937,Takoyaki Mant-Man,77,TV,Picture book,spring,1998,PG - Children
29487,Paniponi,48,TV,Unknown,spring,1998,PG - Children
37686,Pugpug,4,TV,Original,spring,1998,G - All Ages
48209,Bio Cop Wingo,14,TV,Original,spring,1998,PG - Children
