mal_id,title,episodes,type,source,season,year,rating
59,Chobits,26,TV,Manga,spring,2002,PG-13 - Teens 13 or older
66,Azumanga Daiou The Animation,26,TV,4-koma manga,spring,2002,PG-13 - Teens 13 or older
48,.hack//Sign,26,TV,Original,spring,2002,PG-13 - Teens 13 or older
1132,Digimon Frontier,50,TV,Original,spring,2002,PG - Children
687,Tokyo Mew Mew,52,TV,Manga,spring,2002,PG-13 - Teens 13 or older
153,Juuni Kokuki,45,TV,Novel,spring,2002,PG-13 - Teens 13 or older
53,Ai Yori Aoshi,24,TV,Manga,spring,2002,PG-13 - Teens 13 or older
122,Full Moon wo Sagashite,52,TV,Manga,spring,2002,PG-13 - Teens 13 or older
306,Abenobashi Mahou☆Shoutengai,13,TV,Original,spring,2002,R+ - Mild Nudity
1710,Rockman.EXE,56,TV,Game,spring,2002,PG-13 - Teens 13 or older
107,Ou Dorobou Jing,13,TV,Manga,spring,2002,PG-13 - Teens 13 or older
1133,Tenchi Muyou! GXP,26,TV,Original,spring,2002,PG-13 - Teens 13 or older
175,Tokyo Underground,26,TV,Manga,spring,2002,PG-13 - Teens 13 or older
260,Happy☆Lesson (TV),13,TV,Manga,spring,2002,PG-13 - Teens 13 or older
200,Tenshi na Konamaiki,50,TV,Manga,spring,2002,PG-13 - Teens 13 or older
197,Rizelmine,24,TV,Manga,spring,2002,R+ - Mild Nudity
162,Pita Ten,26,TV,Manga,spring,2002,G - All Ages
1744,Wagamama☆Fairy Mirumo de Pon!,172,TV,Manga,spring,2002,G - All Ages
183,Whistle!,39,TV,Manga,spring,2002,G - All Ages
337,Psychic Academy,24,TV,Manga,spring,2002,PG-13 - Teens 13 or older
1706,Gun Frontier,13,TV,Manga,spring,2002,PG-13 - Teens 13 or older
3006,Atashin'chi,330,TV,Manga,spring,2002,G - All Ages
3271,Bakutou Sengen Daigunder,39,TV,Original,spring,2002,PG - Children
1745,Wild 7 Another Bouryaku Unga,13,TV,Manga,spring,2002,R - 17+ (violence & profanity)
2732,Baby Baachan,53,TV,Original,spring,2002,G - All Ages
8956,Denkou Chou Tokkyuu Hikarian,52,TV,Unknown,spring,2002,G - All Ages
31054,"Letchu, Getchu, Saru Getchu",76,TV,Game,spring,2002,PG - Children
18005,Forza! Hidemaru,26,TV,Manga,spring,2002,G - All Ages
