mal_id,title,episodes,type,source,season,year,rating
8074,Highschool of the Dead,12,TV,Manga,summer,2010,R+ - Mild Nudity
7724,Shiki,22,TV,Manga,summer,2010,R - 17+ (violence & profanity)
6707,Kuroshitsuji II,12,TV,Manga,summer,2010,R - 17+ (violence & profanity)
8675,Seitokai Yakuindomo,13,TV,4-koma manga,summer,2010,R - 17+ (violence & profanity)
8676,Amagami SS,25,TV,Visual novel,summer,2010,PG-13 - Teens 13 or older
8086,Densetsu no Yuusha no Densetsu,24,TV,Light novel,summer,2010,R - 17+ (violence & profanity)
7769,Ookami-san to Shichinin no Nakama-tachi,12,TV,Light novel,summer,2010,PG-13 - Teens 13 or older
7592,Nurarihyon no Mago,24,TV,Manga,summer,2010,PG-13 - Teens 13 or older
5277,Sekirei: Pure Engagement,13,TV,Manga,summer,2010,R+ - Mild Nudity
6166,Asobi ni Iku yo!,12,TV,Light novel,summer,2010,R+ - Mild Nudity
7627,Mitsudomoe,13,TV,Manga,summer,2010,PG-13 - Teens 13 or older
6974,Seikimatsu Occult Gakuin,13,TV,Original,summer,2010,R - 17+ (violence & profanity)
6381,Strike Witches 2,12,TV,Original,summer,2010,R+ - Mild Nudity
6634,Sengoku Basara Ni,12,TV,Game,summer,2010,PG-13 - Teens 13 or older
8624,Digimon Xros Wars,30,TV,Original,summer,2010,PG - Children
6979,Shukufuku no Campanella,12,TV,Visual novel,summer,2010,R+ - Mild Nudity
8961,Tono to Issho: Ippunkan Gekijou,12,TV,4-koma manga,summer,2010,PG-13 - Teens 13 or older
10869,Scan2Go,52,TV,Original,summer,2010,G - All Ages
8964,Stitch!: Zutto Saikou no Tomodachi,29,TV,Unknown,summer,2010,PG - Children
36993,Chao Zhi Neng Zu Qiu,52,TV,Original,summer,2010,G - All Ages
9013,Kuruneko 2nd Season,50,TV,Manga,summer,2010,G - All Ages
8960,MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu,10,TV,Game,summer,2010,G - All Ages
9345,Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,33,TV,Unknown,summer,2010,
38070,Kkoma Bus Tayo,26,TV,Original,summer,2010,G - All Ages
45540,Shuimu Juchang Xi You Ji,108,TV,Novel,summer,2010,PG - Children
45517,Kuaile Tuo Mo Ta,52,TV,Original,summer,2010,PG - Children
46706,Tantan Xiao Dongyuan,104,TV,Original,summer,2010,PG - Children
48156,Nae Chingu Haechi,26,TV,Original,summer,2010,PG - Children
45181,Xiayi Xiao Qingtian,65,TV,Other,summer,2010,PG - Children
45850,Shenqi Xiaozi: Mike Yu Xiao Buji,50,TV,Unknown,summer,2010,PG - Children
46398,Xianggu Teqin Dui: Huluobo Ruqin,42,TV,Original,summer,2010,PG - Children
