mal_id,title,episodes,type,source,season,year,rating
392,Yuu☆Yuu☆Hakusho,112,TV,Manga,fall,1992,PG-13 - Teens 13 or older
2037,Hime-chan no Ribbon,61,TV,Manga,fall,1992,PG - Children
3110,Kaze no Naka no Shoujo: Kinpatsu no Jeanie,52,TV,Unknown,fall,1992,G - All Ages
3345,Mikan Enikki,30,TV,Manga,fall,1992,G - All Ages
5992,Tsuyoshi Shikkari Shinasai,112,TV,Manga,fall,1992,PG-13 - Teens 13 or older
7004,Shin Calimero,52,TV,Other,fall,1992,G - All Ages
2624,"Flanders no Inu, Boku no Patrasche",26,TV,Novel,fall,1992,G - All Ages
2783,Oyayubi Hime Monogatari,26,TV,Book,fall,1992,G - All Ages
3132,Boukensha: The Man Was from Spain,26,TV,Unknown,fall,1992,G - All Ages
2503,Nangoku Shounen Papuwa-kun,42,TV,Manga,fall,1992,PG-13 - Teens 13 or older
6981,Super Zugan,21,TV,Manga,fall,1992,PG-13 - Teens 13 or older
19585,Kobo-chan,63,TV,4-koma manga,fall,1992,G - All Ages
3451,Space Oz no Bouken,26,TV,Unknown,fall,1992,PG - Children
8832,Shounen Ashibe 2,25,TV,4-koma manga,fall,1992,G - All Ages
17601,Non-tan to Issho,263,TV,Picture book,fall,1992,PG - Children
22065,T-Rex,52,TV,Unknown,fall,1992,G - All Ages
