mal_id,title,episodes,type,source,season,year,rating
1251,Fushigi no Umi no Nadia,39,TV,Original,spring,1990,PG-13 - Teens 13 or older
2150,Tanoshii Muumin Ikka,78,TV,Book,spring,1990,G - All Ages
2084,NG Knight Ramune & 40,38,TV,Original,spring,1990,PG-13 - Teens 13 or older
2040,Mahou no Angel Sweet Mint,47,TV,Original,spring,1990,G - All Ages
4928,Idol Tenshi Youkoso Youko,43,TV,Original,spring,1990,G - All Ages
4807,Mashin Eiyuuden Wataru 2,46,TV,Unknown,spring,1990,G - All Ages
20243,Gatapishi,199,TV,4-koma manga,spring,1990,PG - Children
12391,Mouretsu Atarou (1990),34,TV,Manga,spring,1990,G - All Ages
27369,Eigo de Asobo: Tanken Goblin Tou,100,TV,Unknown,spring,1990,PG - Children
