mal_id,title,episodes,type,source,season,year,rating
71,Full Metal Panic!,24,TV,Light novel,winter,2002,R - 17+ (violence & profanity)
195,Onegai☆Teacher,12,TV,Original,winter,2002,PG-13 - Teens 13 or older
165,RahXephon,26,TV,Original,winter,2002,PG-13 - Teens 13 or older
1669,Bakuten Shoot Beyblade 2002,51,TV,Manga,winter,2002,PG - Children
144,Kanon,13,TV,Visual novel,winter,2002,G - All Ages
1019,Honoo no Mirage,13,TV,Light novel,winter,2002,PG-13 - Teens 13 or older
1707,Kinnikuman II Sei,51,TV,Manga,winter,2002,PG-13 - Teens 13 or older
353,Ojamajo Doremi Dokkaan!,51,TV,Original,winter,2002,G - All Ages
1224,Aquarian Age: Sign for Evolution,13,TV,Card game,winter,2002,PG-13 - Teens 13 or older
652,Galaxy Angel Z,9,TV,Original,winter,2002,PG - Children
708,Patapata Hikousen no Bouken,26,TV,Novel,winter,2002,PG-13 - Teens 13 or older
623,Shichinin no Nana,25,TV,Manga,winter,2002,PG-13 - Teens 13 or older
1597,Panyo Panyo Di Gi Charat,48,TV,Unknown,winter,2002,G - All Ages
2287,Kakutou Ryouri Densetsu Bistro Recipe,26,TV,Game,winter,2002,G - All Ages
1705,Genma Taisen: Shinwa Zenya no Shou,13,TV,Manga,winter,2002,PG-13 - Teens 13 or older
5474,Yobarete Tobidete Akubi-chan,26,TV,Unknown,winter,2002,G - All Ages
7525,Kick Off 2002,26,TV,Game,winter,2002,PG - Children
48215,Haerowa Toremi,26,TV,Original,winter,2002,PG - Children
