mal_id,title,episodes,type,source,season,year,rating
4081,Natsume Yuujinchou,13,TV,Manga,summer,2008,PG-13 - Teens 13 or older
3712,Zero no Tsukaima: Princesses no Rondo,12,TV,Light novel,summer,2008,PG-13 - Teens 13 or older
4063,Sekirei,12,TV,Manga,summer,2008,R+ - Mild Nudity
3667,Strike Witches,12,TV,Original,summer,2008,R+ - Mild Nudity
3467,Nogizaka Haruka no Himitsu,12,TV,Light novel,summer,2008,PG-13 - Teens 13 or older
3974,Tetsuwan Birdy Decode,13,TV,Manga,summer,2008,PG-13 - Teens 13 or older
4151,Blade of the Immortal,13,TV,Manga,summer,2008,R - 17+ (violence & profanity)
4196,Ikkitousen: Great Guardians,12,TV,Manga,summer,2008,R+ - Mild Nudity
4415,World Destruction: Sekai Bokumetsu no Rokunin,13,TV,Game,summer,2008,PG-13 - Teens 13 or older
4262,Koihime†Musou,12,TV,Visual novel,summer,2008,R+ - Mild Nudity
4021,Seiyou Kottou Yougashiten: Antique,12,TV,Manga,summer,2008,PG-13 - Teens 13 or older
4028,Slayers Revolution,13,TV,Light novel,summer,2008,PG-13 - Teens 13 or older
3604,Hidamari Sketch x 365,13,TV,4-koma manga,summer,2008,PG-13 - Teens 13 or older
4483,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,12,TV,Manga,summer,2008,G - All Ages
4662,Neo Angelique Abyss: Second Age,13,TV,Visual novel,summer,2008,PG-13 - Teens 13 or older
3614,Yakushiji Ryouko no Kaiki Jikenbo,13,TV,Light novel,summer,2008,PG-13 - Teens 13 or older
3668,Telepathy Shoujo Ran,26,TV,Novel,summer,2008,PG-13 - Teens 13 or older
4264,Ultraviolet: Code 044,12,TV,Other,summer,2008,R - 17+ (violence & profanity)
4209,Mission-E,12,TV,Original,summer,2008,PG - Children
5304,Akiba-chan,10,TV,Unknown,summer,2008,G - All Ages
11841,Qin Shi Mingyue: Ye Jin Tianming,18,TV,Novel,summer,2008,PG-13 - Teens 13 or older
4684,Scarecrowman,26,TV,Original,summer,2008,G - All Ages
4547,RoboDz,26,TV,Unknown,summer,2008,PG - Children
32419,Chibinacs 3,25,TV,Other,summer,2008,G - All Ages
40407,Nanami-chan 5th Series,16,TV,Unknown,summer,2008,G - All Ages
