mal_id,title,episodes,type,source,season,year,rating
18679,Kill la Kill,24,TV,Original,fall,2013,PG-13 - Teens 13 or older
18153,Kyoukai no Kanata,12,TV,Light novel,fall,2013,PG-13 - Teens 13 or older
17265,Log Horizon,25,TV,Light novel,fall,2013,PG-13 - Teens 13 or older
17895,Golden Time,24,TV,Light novel,fall,2013,PG-13 - Teens 13 or older
16894,Kuroko no Basket 2nd Season,25,TV,Manga,fall,2013,PG-13 - Teens 13 or older
18115,Magi: The Kingdom of Magic,25,TV,Manga,fall,2013,PG-13 - Teens 13 or older
18277,Strike the Blood,24,TV,Light novel,fall,2013,R+ - Mild Nudity
16067,Nagi no Asu kara,26,TV,Original,fall,2013,PG-13 - Teens 13 or older
16011,Tokyo Ravens,24,TV,Light novel,fall,2013,PG-13 - Teens 13 or older
17549,Non Non Biyori,12,TV,Manga,fall,2013,PG-13 - Teens 13 or older
19221,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",10,TV,Light novel,fall,2013,PG-13 - Teens 13 or older
18247,IS: Infinite Stratos 2,12,TV,Light novel,fall,2013,PG-13 - Teens 13 or older
19369,Outbreak Company,12,TV,Light novel,fall,2013,PG-13 - Teens 13 or older
17513,Diabolik Lovers,12,TV,Visual novel,fall,2013,R - 17+ (violence & profanity)
17247,Machine-Doll wa Kizutsukanai,12,TV,Light novel,fall,2013,R+ - Mild Nudity
18677,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,12,TV,Light novel,fall,2013,R+ - Mild Nudity
19647,Hajime no Ippo: Rising,25,TV,Manga,fall,2013,PG-13 - Teens 13 or older
18245,White Album 2,13,TV,Visual novel,fall,2013,PG-13 - Teens 13 or older
18689,Diamond no Ace,75,TV,Manga,fall,2013,PG-13 - Teens 13 or older
18179,Yowamushi Pedal,38,TV,Manga,fall,2013,PG-13 - Teens 13 or older
19703,Kyousou Giga (TV),10,TV,Original,fall,2013,PG-13 - Teens 13 or older
18001,Freezing Vibration,12,TV,Manga,fall,2013,R+ - Mild Nudity
19291,Pokemon XY,93,TV,Game,fall,2013,PG - Children
18195,Little Busters! Refrain,13,TV,Visual novel,fall,2013,PG-13 - Teens 13 or older
18893,Aoki Hagane no Arpeggio: Ars Nova,12,TV,Manga,fall,2013,PG-13 - Teens 13 or older
19151,Walkure Romanze,12,TV,Visual novel,fall,2013,R+ - Mild Nudity
19365,Samurai Flamenco,22,TV,Original,fall,2013,R - 17+ (violence & profanity)
18497,Yozakura Quartet: Hana no Uta,13,TV,Manga,fall,2013,PG-13 - Teens 13 or older
9479,Coppelion,13,TV,Manga,fall,2013,PG-13 - Teens 13 or older
18295,Kakumeiki Valvrave 2nd Season,12,TV,Original,fall,2013,R - 17+ (violence & profanity)
18767,BlazBlue: Alter Memory,12,TV,Game,fall,2013,R - 17+ (violence & profanity)
19319,Gundam Build Fighters,25,TV,Original,fall,2013,G - All Ages
11763,Sekai de Ichiban Tsuyoku Naritai!,12,TV,Manga,fall,2013,R+ - Mild Nudity
18411,Gingitsune,12,TV,Manga,fall,2013,PG-13 - Teens 13 or older
19367,Galilei Donna,11,TV,Original,fall,2013,R - 17+ (violence & profanity)
20033,Miss Monochrome The Animation,13,TV,Original,fall,2013,G - All Ages
15651,Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,25,TV,Original,fall,2013,PG-13 - Teens 13 or older
19841,Super Seisyun Brothers,14,TV,Web manga,fall,2013,PG-13 - Teens 13 or older
19257,Megane-bu!,12,TV,Other,fall,2013,PG-13 - Teens 13 or older
20473,Teekyuu 3,12,TV,Manga,fall,2013,PG-13 - Teens 13 or older
19919,Tesagure! Bukatsumono,12,TV,Original,fall,2013,PG-13 - Teens 13 or older
20329,Koroshiya-san: The Hired Gun,10,TV,4-koma manga,fall,2013,PG-13 - Teens 13 or older
19871,Gaist Crusher,51,TV,Game,fall,2013,PG - Children
19825,Saikyou Ginga Ultimate Zero: Battle Spirits,49,TV,Card game,fall,2013,PG - Children
19755,Oshiri Kajiri Mushi (TV) 2nd Season,32,TV,Music,fall,2013,G - All Ages
19843,Tamagotchi! Miracle Friends,29,TV,Unknown,fall,2013,G - All Ages
36425,Zhandou Wang Zhi Jufeng Zhan Hun 2,40,TV,Original,fall,2013,PG - Children
31211,Choegang Top Plate,26,TV,Original,fall,2013,PG - Children
38525,Chuldong! Super Wings,52,TV,Original,fall,2013,G - All Ages
48304,Yuhuwa Chingudeul 2,28,TV,Original,fall,2013,PG - Children
45386,AU: Baoxiao Xiaoyuan,60,TV,Mixed media,fall,2013,PG - Children
44288,Wu Zhan Dao,52,TV,Original,fall,2013,PG - Children
47491,Caihong Xiong: Jizhan Huanying Guai,26,TV,Unknown,fall,2013,PG - Children
43257,San Mao Luxing Ji,26,TV,Unknown,fall,2013,PG - Children
45502,Ruyi Ku Bao: Dong Dou Hu,52,TV,Original,fall,2013,PG - Children
45504,Ruyi Ku Bao: Fei Li Niu,52,TV,Original,fall,2013,PG - Children
45503,Ruyi Ku Bao: Xi Ou Tu,52,TV,Original,fall,2013,PG - Children
55091,Bubble Cook Wonjeongdae,52,TV,Original,fall,2013,G - All Ages
