mal_id,title,episodes,type,source,season,year,rating
2116,Captain Tsubasa,128,TV,Manga,fall,1983,G - All Ages
2762,Igano Kabamaru,24,TV,Manga,fall,1983,PG-13 - Teens 13 or older
3670,Kikou Souseiki Mospeada,25,TV,Original,fall,1983,R+ - Mild Nudity
2987,Ginga Hyouryuu Vifam,46,TV,Original,fall,1983,G - All Ages
2572,Fushigi no Kuni no Alice,24,TV,Book,fall,1983,G - All Ages
5143,Tokusou Kihei Dorvack,36,TV,Original,fall,1983,R+ - Mild Nudity
2578,TaoTao Ehonkan Sekai Doubutsu Banashi,52,TV,Original,fall,1983,PG - Children
2568,Kojika Monogatari,52,TV,Novel,fall,1983,G - All Ages
3180,Manga Aesop Monogatari (TV),52,TV,Unknown,fall,1983,G - All Ages
