mal_id,title,episodes,type,source,season,year,rating
2001,Tengen Toppa Gurren Lagann,27,TV,Original,spring,2007,PG-13 - Teens 13 or older
2025,Darker than Black: Kuro no Keiyakusha,25,TV,Original,spring,2007,R - 17+ (violence & profanity)
1818,Claymore,26,TV,Manga,spring,2007,R+ - Mild Nudity
1887,Lucky☆Star,24,TV,4-koma manga,spring,2007,PG-13 - Teens 13 or older
2034,Lovely★Complex,24,TV,Manga,spring,2007,PG-13 - Teens 13 or older
1691,Kaze no Stigma,24,TV,Light novel,spring,2007,PG-13 - Teens 13 or older
1292,Afro Samurai,5,TV,Manga,spring,2007,R+ - Mild Nudity
2104,Seto no Hanayome,26,TV,Manga,spring,2007,PG-13 - Teens 13 or older
2026,Hayate no Gotoku!,52,TV,Manga,spring,2007,PG-13 - Teens 13 or older
1827,Seirei no Moribito,26,TV,Novel,spring,2007,PG-13 - Teens 13 or older
1690,Bokura no,24,TV,Manga,spring,2007,R - 17+ (violence & profanity)
1699,Romeo x Juliet,24,TV,Book,spring,2007,PG-13 - Teens 13 or older
2164,Dennou Coil,26,TV,Original,spring,2007,G - All Ages
2002,Heroic Age,26,TV,Original,spring,2007,PG-13 - Teens 13 or older
2156,Bakugan Battle Brawlers,52,TV,Original,spring,2007,PG - Children
1722,Nagasarete Airantou,26,TV,Manga,spring,2007,PG-13 - Teens 13 or older
1965,Sola,13,TV,Manga,spring,2007,PG-13 - Teens 13 or older
2159,Ookiku Furikabutte,25,TV,Manga,spring,2007,PG-13 - Teens 13 or older
2130,Kaibutsu Oujo,25,TV,Manga,spring,2007,PG-13 - Teens 13 or older
2158,Terra e... (TV),24,TV,Manga,spring,2007,PG-13 - Teens 13 or older
2030,El Cazador de la Bruja,26,TV,Original,spring,2007,PG-13 - Teens 13 or older
2142,Blue Dragon,51,TV,Game,spring,2007,PG - Children
1915,Mahou Shoujo Lyrical Nanoha StrikerS,26,TV,Original,spring,2007,PG-13 - Teens 13 or older
1808,Kamichama Karin,26,TV,Manga,spring,2007,PG-13 - Teens 13 or older
2112,Over Drive,26,TV,Manga,spring,2007,PG-13 - Teens 13 or older
1914,Saiunkoku Monogatari 2nd Season,39,TV,Light novel,spring,2007,PG-13 - Teens 13 or older
2031,Shining Tears X Wind,13,TV,Game,spring,2007,PG-13 - Teens 13 or older
2161,Skull Man,13,TV,Manga,spring,2007,PG-13 - Teens 13 or older
1727,Shinkyoku Soukai Polyphonica,12,TV,Visual novel,spring,2007,PG-13 - Teens 13 or older
2035,Eikoku Koi Monogatari Emma: Molders-hen,12,TV,Manga,spring,2007,G - All Ages
1694,iDOLM@STER Xenoglossia,26,TV,Original,spring,2007,PG-13 - Teens 13 or older
2155,Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,13,TV,Visual novel,spring,2007,PG-13 - Teens 13 or older
1721,Hitohira,12,TV,Manga,spring,2007,PG-13 - Teens 13 or older
2105,Touka Gettan,26,TV,Visual novel,spring,2007,R - 17+ (violence & profanity)
2152,Oh! Edo Rocket,26,TV,Other,spring,2007,PG-13 - Teens 13 or older
10870,Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV),12,TV,Manga,spring,2007,PG - Children
1941,Moonlight Mile 1st Season: Lift Off,12,TV,Manga,spring,2007,R+ - Mild Nudity
2106,Kiss Dum: Engage Planet,26,TV,Original,spring,2007,PG-13 - Teens 13 or older
2032,Wellber no Monogatari: Sisters of Wellber,13,TV,Original,spring,2007,PG-13 - Teens 13 or older
2162,Koutetsu Sangokushi,25,TV,Unknown,spring,2007,PG-13 - Teens 13 or older
1878,Kaze no Shoujo Emily,26,TV,Novel,spring,2007,G - All Ages
2153,Saint Beast: Kouin Jojishi Tenshi Tan,13,TV,Mixed media,spring,2007,PG-13 - Teens 13 or older
2215,Kishin Taisen Gigantic Formula,26,TV,Original,spring,2007,PG-13 - Teens 13 or older
2157,Koutetsushin Jeeg,13,TV,Original,spring,2007,PG-13 - Teens 13 or older
2165,Gegege no Kitarou (2007),100,TV,Manga,spring,2007,G - All Ages
2620,Spider Riders: Yomigaeru Taiyou,26,TV,Novel,spring,2007,PG - Children
5520,Onegai My Melody Sukkiri♪,52,TV,Unknown,spring,2007,PG - Children
4444,Zero Duel Masters,12,TV,Original,spring,2007,PG-13 - Teens 13 or older
9200,Dae Jang Geum: Jang Geum's Dream 2,26,TV,Other,spring,2007,
7522,Taichi Senjimon,39,TV,Unknown,spring,2007,PG - Children
3885,Sugar Bunnies,26,TV,Unknown,spring,2007,G - All Ages
19467,Revbahaf Wang-gug Jaegeon-soelgi,26,TV,Unknown,spring,2007,
10705,Yasai no Yousei: N.Y.Salad,26,TV,Unknown,spring,2007,G - All Ages
20087,Treasure Gaust,5,TV,Other,spring,2007,PG-13 - Teens 13 or older
3073,Robby to Kerobby,52,TV,Original,spring,2007,G - All Ages
29399,Ousama Monogatari,11,TV,Original,spring,2007,G - All Ages
29389,Shiro Hon,6,TV,Unknown,spring,2007,G - All Ages
29745,ColoColo Animal,60,TV,Unknown,spring,2007,PG - Children
32418,Chibinacs 2.0,25,TV,Other,spring,2007,G - All Ages
45765,Huo Xing Wa: Maoxian Leyuan,53,TV,Unknown,spring,2007,PG - Children
45293,Xiaoshi de Wenming,13,TV,Original,spring,2007,PG - Children
