mal_id,title,episodes,type,source,season,year,rating
740,Bishoujo Senshi Sailor Moon R,43,TV,Manga,spring,1993,PG-13 - Teens 13 or older
89,Kidou Senshi Victory Gundam,51,TV,Original,spring,1993,PG-13 - Teens 13 or older
2400,GS Mikami,45,TV,Manga,spring,1993,PG-13 - Teens 13 or older
2335,Kenyuu Densetsu Yaiba,52,TV,Manga,spring,1993,PG-13 - Teens 13 or older
1199,Nintama Rantarou,,TV,Manga,spring,1993,G - All Ages
5197,Dragon League,39,TV,Unknown,spring,1993,PG-13 - Teens 13 or older
5395,Nekketsu Saikyou Go-Saurer,51,TV,Original,spring,1993,PG-13 - Teens 13 or older
2758,Shippuu! Iron Leaguer,52,TV,Original,spring,1993,PG-13 - Teens 13 or older
6779,Pokonyan!,170,TV,Unknown,spring,1993,PG - Children
7681,Kyouryuu Wakusei,60,TV,Original,spring,1993,PG - Children
