mal_id,title,episodes,type,source,season,year,rating
967,Hokuto no Ken,109,TV,Manga,fall,1984,R+ - Mild Nudity
1972,Meitantei Holmes,26,TV,Novel,fall,1984,G - All Ages
2361,Sei Juushi Bismarck,51,TV,Original,fall,1984,PG-13 - Teens 13 or older
5153,Kikou Kai Galient,25,TV,Original,fall,1984,PG-13 - Teens 13 or older
7160,Yoroshiku Mechadock,30,TV,Manga,fall,1984,PG-13 - Teens 13 or older
2769,Galactic Patrol Lensman,25,TV,Unknown,fall,1984,PG-13 - Teens 13 or older
3808,Futari Daka,36,TV,Manga,fall,1984,G - All Ages
8853,Chouriki Robo Galatt,25,TV,Unknown,fall,1984,PG-13 - Teens 13 or older
3131,Ashita Tenki ni Naare,47,TV,Manga,fall,1984,G - All Ages
8130,Mighty Orbots,13,TV,Original,fall,1984,G - All Ages
2226,Mori no Tonto-tachi,23,TV,Unknown,fall,1984,G - All Ages
20077,Dotanba no Manners,283,TV,Manga,fall,1984,G - All Ages
