mal_id,title,episodes,type,source,season,year,rating
527,Pokemon,276,TV,Game,spring,1997,PG - Children
440,Shoujo Kakumei Utena,39,TV,Original,spring,1997,PG-13 - Teens 13 or older
1172,Slayers Try,26,TV,Light novel,spring,1997,PG-13 - Teens 13 or older
538,Shin Tenchi Muyou!,26,TV,Original,spring,1997,PG-13 - Teens 13 or older
2076,Kindaichi Shounen no Jikenbo,148,TV,Manga,spring,1997,R - 17+ (violence & profanity)
110,Chuuka Ichiban!,52,TV,Manga,spring,1997,PG-13 - Teens 13 or older
1844,Clamp Gakuen Tanteidan,26,TV,Manga,spring,1997,G - All Ages
1180,Hyper Police,25,TV,Manga,spring,1997,R - 17+ (violence & profanity)
1161,Maze☆Bakunetsu Jikuu (TV),25,TV,Manga,spring,1997,PG-13 - Teens 13 or older
2415,Super Fishing Grander Musashi,25,TV,Unknown,spring,1997,PG-13 - Teens 13 or older
1466,Hakugei Densetsu,26,TV,Original,spring,1997,PG-13 - Teens 13 or older
646,Haunted Junction,12,TV,Manga,spring,1997,PG-13 - Teens 13 or older
4211,Hareluya II Boy,25,TV,Manga,spring,1997,PG-13 - Teens 13 or older
2282,Tezuka Osamu no Kyuuyaku Seisho Monogatari: In the Beginning,26,TV,Book,spring,1997,PG - Children
2074,Kero Kero Chime,30,TV,Manga,spring,1997,PG-13 - Teens 13 or older
5189,Chou Tokkyuu Hikarian,156,TV,Unknown,spring,1997,G - All Ages
2822,Bamboo Bears,52,TV,Unknown,spring,1997,
27393,Kyuumei Senshi Nanosaver,28,TV,Original,spring,1997,PG - Children
30120,Spoon-hime no Swing Kitchen,34,TV,Original,spring,1997,PG - Children
