mal_id,title,episodes,type,source,season,year,rating
1279,Taiyou no Ko Esteban,39,TV,Novel,spring,1982,PG-13 - Teens 13 or older
518,Mahou no Princess Minky Momo,63,TV,Original,spring,1982,G - All Ages
2835,Patalliro!,49,TV,Manga,spring,1982,PG-13 - Teens 13 or older
3136,Ochamegami Monogatari: Korokoro Pollon,46,TV,Manga,spring,1982,G - All Ages
4853,Tezuka Osamu no Don Dracula,8,TV,Manga,spring,1982,R+ - Mild Nudity
3609,Kikou Kantai Dairugger XV,52,TV,Unknown,spring,1982,PG-13 - Teens 13 or older
3075,Tondera House no Daibouken,52,TV,Original,spring,1982,G - All Ages
3880,Makyou Densetsu Acrobunch,24,TV,Original,spring,1982,PG-13 - Teens 13 or older
3969,Kagaku Kyuujo-tai TechnoVoyager,18,TV,Unknown,spring,1982,PG-13 - Teens 13 or older
12243,Game Center Arashi,26,TV,Manga,spring,1982,
8239,Anime Yasei no Sakebi,22,TV,Unknown,spring,1982,PG - Children
