mal_id,type,name,url
1133,anime,dwarf,https://myanimelist.net/anime/producer/1133/dwarf
3,anime,Gonzo,https://myanimelist.net/anime/producer/3/Gonzo
1724,anime,Studio OX,https://myanimelist.net/anime/producer/1724/Studio_OX
1846,anime,Tokyo Movie,https://myanimelist.net/anime/producer/1846/Tokyo_Movie
4,anime,Bones,https://myanimelist.net/anime/producer/4/Bones
1023,anime,Polygon Pictures,https://myanimelist.net/anime/producer/1023/Polygon_Pictures
93,anime,Studio Flag,https://myanimelist.net/anime/producer/93/Studio_Flag
120,anime,TNK,https://myanimelist.net/anime/producer/120/TNK
523,anime,SBS TV Production,https://myanimelist.net/anime/producer/523/SBS_TV_Production
1037,anime,Japan Vistec,https://myanimelist.net/anime/producer/1037/Japan_Vistec
629,anime,Studio Sign,https://myanimelist.net/anime/producer/629/Studio_Sign
24,anime,Studio Fantasia,https://myanimelist.net/anime/producer/24/Studio_Fantasia
136,anime,Vega Entertainment,https://myanimelist.net/anime/producer/136/Vega_Entertainment
13,anime,Studio 4°C,https://myanimelist.net/anime/producer/13/Studio_4%C2%B0C
218,anime,Zexcs,https://myanimelist.net/anime/producer/218/Zexcs
2459,anime,Studio Gazelle,https://myanimelist.net/anime/producer/2459/Studio_Gazelle
193,anime,Idea Factory,https://myanimelist.net/anime/producer/193/Idea_Factory
1025,anime,Dongwoo A&E,https://myanimelist.net/anime/producer/1025/Dongwoo_A_E
2282,anime,Studio Guts,https://myanimelist.net/anime/producer/2282/Studio_Guts
463,anime,M.S.C,https://myanimelist.net/anime/producer/463/MSC
179,anime,A.C.G.T.,https://myanimelist.net/anime/producer/179/ACGT
43,anime,ufotable,https://myanimelist.net/anime/producer/43/ufotable
409,anime,Studio Egg,https://myanimelist.net/anime/producer/409/Studio_Egg
75,anime,Imagin,https://myanimelist.net/anime/producer/75/Imagin
112,anime,Brain's Base,https://myanimelist.net/anime/producer/112/Brains_Base
462,anime,Chaos Project,https://myanimelist.net/anime/producer/462/Chaos_Project
721,anime,GANSIS,https://myanimelist.net/anime/producer/721/GANSIS
88,anime,AIC ASTA,https://myanimelist.net/anime/producer/88/AIC_ASTA
175,anime,Planet,https://myanimelist.net/anime/producer/175/Planet
118,anime,SynergySP,https://myanimelist.net/anime/producer/118/SynergySP
1383,anime,Studio Live,https://myanimelist.net/anime/producer/1383/Studio_Live
2,anime,Kyoto Animation,https://myanimelist.net/anime/producer/2/Kyoto_Animation
114,anime,Studio Matrix,https://myanimelist.net/anime/producer/114/Studio_Matrix
91,anime,feel.,https://myanimelist.net/anime/producer/91/feel
96,anime,Yumeta Company,https://myanimelist.net/anime/producer/96/Yumeta_Company
1662,anime,Creators Dot Com,https://myanimelist.net/anime/producer/1662/Creators_Dot_Com
70,anime,Nomad,https://myanimelist.net/anime/producer/70/Nomad
455,anime,Palm Studio,https://myanimelist.net/anime/producer/455/Palm_Studio
35,anime,Seven Arcs,https://myanimelist.net/anime/producer/35/Seven_Arcs
63,anime,Trinet Entertainment,https://myanimelist.net/anime/producer/63/Trinet_Entertainment
78,anime,Picture Magic,https://myanimelist.net/anime/producer/78/Picture_Magic
1363,anime,Marine Entertainment,https://myanimelist.net/anime/producer/1363/Marine_Entertainment
38,anime,Arms,https://myanimelist.net/anime/producer/38/Arms
32,anime,Manglobe,https://myanimelist.net/anime/producer/32/Manglobe
131,anime,G&G Entertainment,https://myanimelist.net/anime/producer/131/G_G_Entertainment
434,anime,Synergy Japan,https://myanimelist.net/anime/producer/434/Synergy_Japan
83,anime,AIC Spirits,https://myanimelist.net/anime/producer/83/AIC_Spirits
890,anime,Karaku,https://myanimelist.net/anime/producer/890/Karaku
389,anime,I-move,https://myanimelist.net/anime/producer/389/I-move
474,anime,Shogakukan Music & Digital Entertainment,https://myanimelist.net/anime/producer/474/Shogakukan_Music___Digital_Entertainment
177,anime,Studio Kyuuma,https://myanimelist.net/anime/producer/177/Studio_Kyuuma
163,anime,asread.,https://myanimelist.net/anime/producer/163/asread
2257,anime,XEBEC M2,https://myanimelist.net/anime/producer/2257/XEBEC_M2
442,anime,Minami Machi Bugyousho,https://myanimelist.net/anime/producer/442/Minami_Machi_Bugyousho
374,anime,Plus Heads,https://myanimelist.net/anime/producer/374/Plus_Heads
1927,anime,Studio Crocodile,https://myanimelist.net/anime/producer/1927/Studio_Crocodile
229,anime,The Answer Studio,https://myanimelist.net/anime/producer/229/The_Answer_Studio
1437,anime,Ishimori Entertainment,https://myanimelist.net/anime/producer/1437/Ishimori_Entertainment
176,anime,Ginga Ya,https://myanimelist.net/anime/producer/176/Ginga_Ya
433,anime,View Works,https://myanimelist.net/anime/producer/433/View_Works
49,anime,Remic,https://myanimelist.net/anime/producer/49/Remic
276,anime,DLE,https://myanimelist.net/anime/producer/276/DLE
406,anime,Asahi Production,https://myanimelist.net/anime/producer/406/Asahi_Production
2410,anime,Gonzino,https://myanimelist.net/anime/producer/2410/Gonzino
1726,anime,Three-d,https://myanimelist.net/anime/producer/1726/Three-d
56,anime,A-1 Pictures,https://myanimelist.net/anime/producer/56/A-1_Pictures
466,anime,Digital Media Lab,https://myanimelist.net/anime/producer/466/Digital_Media_Lab
429,anime,Office AO,https://myanimelist.net/anime/producer/429/Office_AO
343,anime,Puzzle Animation Studio Limited,https://myanimelist.net/anime/producer/343/Puzzle_Animation_Studio_Limited
322,anime,Bee Media,https://myanimelist.net/anime/producer/322/Bee_Media
607,anime,RAMS,https://myanimelist.net/anime/producer/607/RAMS
909,anime,Studio Kelmadick,https://myanimelist.net/anime/producer/909/Studio_Kelmadick
95,anime,Doga Kobo,https://myanimelist.net/anime/producer/95/Doga_Kobo
51,anime,Diomedéa,https://myanimelist.net/anime/producer/51/Diomed%C3%A9a
235,anime,Shirogumi,https://myanimelist.net/anime/producer/235/Shirogumi
89,anime,BeSTACK,https://myanimelist.net/anime/producer/89/BeSTACK
69,anime,Front Line,https://myanimelist.net/anime/producer/69/Front_Line
330,anime,Kanaban Graphics,https://myanimelist.net/anime/producer/330/Kanaban_Graphics
1522,anime,Echoes,https://myanimelist.net/anime/producer/1522/Echoes
285,anime,Four Some,https://myanimelist.net/anime/producer/285/Four_Some
1678,anime,Yuhodo,https://myanimelist.net/anime/producer/1678/Yuhodo
336,anime,JM Animation,https://myanimelist.net/anime/producer/336/JM_Animation
59,anime,Beat Frog,https://myanimelist.net/anime/producer/59/Beat_Frog
1442,anime,Mook DLE,https://myanimelist.net/anime/producer/1442/Mook_DLE
1768,anime,Sparkly Key Animation Studio,https://myanimelist.net/anime/producer/1768/Sparkly_Key_Animation_Studio
370,anime,Iyasakadou Film,https://myanimelist.net/anime/producer/370/Iyasakadou_Film
444,anime,Jinnis Animation Studios,https://myanimelist.net/anime/producer/444/Jinnis_Animation_Studios
2250,anime,Spooky graphic,https://myanimelist.net/anime/producer/2250/Spooky_graphic
1171,anime,Olive Studio,https://myanimelist.net/anime/producer/1171/Olive_Studio
132,anime,P.A. Works,https://myanimelist.net/anime/producer/132/PA_Works
521,anime,Anpro,https://myanimelist.net/anime/producer/521/Anpro
287,anime,David Production,https://myanimelist.net/anime/producer/287/David_Production
1239,anime,KeyEast,https://myanimelist.net/anime/producer/1239/KeyEast
1454,anime,REALTHING,https://myanimelist.net/anime/producer/1454/REALTHING
309,anime,GoHands,https://myanimelist.net/anime/producer/309/GoHands
1231,anime,OLM Digital,https://myanimelist.net/anime/producer/1231/OLM_Digital
314,anime,White Fox,https://myanimelist.net/anime/producer/314/White_Fox
300,anime,SILVER LINK.,https://myanimelist.net/anime/producer/300/SILVER_LINK
325,anime,Code,https://myanimelist.net/anime/producer/325/Code
290,anime,Kinema Citrus,https://myanimelist.net/anime/producer/290/Kinema_Citrus
333,anime,TYO Animations,https://myanimelist.net/anime/producer/333/TYO_Animations
432,anime,Kachidoki Studio,https://myanimelist.net/anime/producer/432/Kachidoki_Studio
1947,anime,Kate Arrow,https://myanimelist.net/anime/producer/1947/Kate_Arrow
553,anime,Marvy Jack,https://myanimelist.net/anime/producer/553/Marvy_Jack
292,anime,AIC PLUS+,https://myanimelist.net/anime/producer/292/AIC_PLUS_
367,anime,Heewon Entertainment,https://myanimelist.net/anime/producer/367/Heewon_Entertainment
1797,anime,NHK Enterprises,https://myanimelist.net/anime/producer/1797/NHK_Enterprises
315,anime,DAX Production,https://myanimelist.net/anime/producer/315/DAX_Production
486,anime,Digital Frontier,https://myanimelist.net/anime/producer/486/Digital_Frontier
850,anime,Kenji Studio,https://myanimelist.net/anime/producer/850/Kenji_Studio
436,anime,AIC Build,https://myanimelist.net/anime/producer/436/AIC_Build
400,anime,Gathering,https://myanimelist.net/anime/producer/400/Gathering
340,anime,Future Planet,https://myanimelist.net/anime/producer/340/Future_Planet
1456,anime,Beijing Huihuang Animation Company,https://myanimelist.net/anime/producer/1456/Beijing_Huihuang_Animation_Company
2746,anime,Studio Vandal,https://myanimelist.net/anime/producer/2746/Studio_Vandal
397,anime,Bridge,https://myanimelist.net/anime/producer/397/Bridge
346,anime,Hoods Entertainment,https://myanimelist.net/anime/producer/346/Hoods_Entertainment
1436,anime,Stingray,https://myanimelist.net/anime/producer/1436/Stingray
456,anime,Lerche,https://myanimelist.net/anime/producer/456/Lerche
541,anime,Seven,https://myanimelist.net/anime/producer/541/Seven
565,anime,LMD,https://myanimelist.net/anime/producer/565/LMD
418,anime,Studio Gokumi,https://myanimelist.net/anime/producer/418/Studio_Gokumi
318,anime,WAO World,https://myanimelist.net/anime/producer/318/WAO_World
1292,anime,TUBA,https://myanimelist.net/anime/producer/1292/TUBA
1939,anime,Alpha Animation,https://myanimelist.net/anime/producer/1939/Alpha_Animation
1290,anime,Pollyanna Graphics,https://myanimelist.net/anime/producer/1290/Pollyanna_Graphics
593,anime,Egg,https://myanimelist.net/anime/producer/593/Egg
271,anime,Barnum Studio,https://myanimelist.net/anime/producer/271/Barnum_Studio
439,anime,Project No.9,https://myanimelist.net/anime/producer/439/Project_No9
478,anime,Studio Blanc.,https://myanimelist.net/anime/producer/478/Studio_Blanc
441,anime,8bit,https://myanimelist.net/anime/producer/441/8bit
1306,anime,AIC Classic,https://myanimelist.net/anime/producer/1306/AIC_Classic
569,anime,MAPPA,https://myanimelist.net/anime/producer/569/MAPPA
1258,anime,Bandai Namco Pictures,https://myanimelist.net/anime/producer/1258/Bandai_Namco_Pictures
537,anime,SANZIGEN,https://myanimelist.net/anime/producer/537/SANZIGEN
911,anime,Passione,https://myanimelist.net/anime/producer/911/Passione
896,anime,Larx Entertainment,https://myanimelist.net/anime/producer/896/Larx_Entertainment
563,anime,LandQ studios,https://myanimelist.net/anime/producer/563/LandQ_studios
